"stock","assigned_model"
"stock_0","HAR-RV"
"stock_1","HAR-RV"
"stock_2","LightGBM"
"stock_3","HAR-RV"
"stock_4","HAR-RV"
"stock_5","HAR-RV"
"stock_6","HAR-RV"
"stock_7","HAR-RV"
"stock_8","GAM"
"stock_9","HAR-RV"
"stock_10","LightGBM"
"stock_11","HAR-RV"
"stock_13","GAM"
"stock_14","LightGBM"
"stock_15","GAM"
"stock_16","HAR-RV"
"stock_17","HAR-RV"
"stock_18","HAR-RV"
"stock_19","GAM"
"stock_20","GAM"
"stock_21","GAM"
"stock_22","GAM"
"stock_23","GAM"
"stock_26","LightGBM"
"stock_27","HAR-RV"
"stock_28","HAR-RV"
"stock_29","GAM"
"stock_30","HAR-RV"
"stock_31","HAR-RV"
"stock_32","GAM"
"stock_33","HAR-RV"
"stock_34","LightGBM"
"stock_35","LightGBM"
"stock_36","GAM"
"stock_37","HAR-RV"
"stock_38","GAM"
"stock_39","HAR-RV"
"stock_40","HAR-RV"
"stock_41","LightGBM"
"stock_42","GAM"
"stock_43","GAM"
"stock_44","GAM"
"stock_46","GAM"
"stock_47","GAM"
"stock_48","HAR-RV"
"stock_50","GAM"
"stock_51","HAR-RV"
"stock_52","LightGBM"
"stock_53","HAR-RV"
"stock_55","HAR-RV"
"stock_56","GAM"
"stock_58","HAR-RV"
"stock_59","HAR-RV"
"stock_60","HAR-RV"
"stock_61","GAM"
"stock_62","HAR-RV"
"stock_63","LightGBM"
"stock_64","GAM"
"stock_66","HAR-RV"
"stock_67","GAM"
"stock_68","HAR-RV"
"stock_69","GAM"
"stock_70","LightGBM"
"stock_72","HAR-RV"
"stock_73","HAR-RV"
"stock_74","HAR-RV"
"stock_75","HAR-RV"
"stock_76","GAM"
"stock_77","LightGBM"
"stock_78","GAM"
"stock_80","GAM"
"stock_81","HAR-RV"
"stock_82","HAR-RV"
"stock_83","HAR-RV"
"stock_84","GAM"
"stock_85","GAM"
"stock_86","GAM"
"stock_87","GAM"
"stock_88","HAR-RV"
"stock_89","HAR-RV"
"stock_90","GAM"
"stock_93","LightGBM"
"stock_94","HAR-RV"
"stock_95","GAM"
"stock_96","GAM"
"stock_97","HAR-RV"
"stock_98","HAR-RV"
"stock_99","GAM"
"stock_100","GAM"
"stock_101","GAM"
"stock_102","HAR-RV"
"stock_103","HAR-RV"
"stock_104","GAM"
"stock_105","GAM"
"stock_107","GAM"
"stock_108","GAM"
"stock_109","GAM"
"stock_110","HAR-RV"
"stock_111","GAM"
"stock_112","HAR-RV"
"stock_113","GAM"
"stock_114","LightGBM"
"stock_115","GAM"
"stock_116","HAR-RV"
"stock_118","HAR-RV"
"stock_119","GAM"
"stock_120","GAM"
"stock_122","GAM"
"stock_123","GAM"
"stock_124","GAM"
"stock_125","GAM"
"stock_126","HAR-RV"
