Stock,R2,Median_QLIKE,Features
stock_0,-0.01278653388201078,0.11273564898121125,"vol10, vol4, vol1"
stock_1,0.4932868730181984,0.03654987977524537,"vol18, vol11, vol8"
stock_2,0.8058698345547763,0.03011637539995526,"vol2, vol3, bas_mean"
stock_3,0.44665716949881695,0.04738251715907204,"vol4, vol15, vol12"
stock_4,0.4859746397619463,0.0795921109241935,"vol12, vol7, vol1"
stock_5,0.263210862324859,0.16348159111866545,"vol2, vol14, vol13"
stock_6,0.5494673961335523,0.03687317986479987,"vol18, vol6, vol15"
stock_7,0.4314596121365347,0.10138399019875588,"vol3, vol1, vol5"
stock_8,0.6552703920589309,0.03441900419437505,"vol8, vol16, vol7"
stock_9,0.1968445282714506,0.10034594359134053,"vol13, vol3, vol14"
stock_10,0.8043668738932873,0.02847493282088076,"vol5, vol19, vol1"
stock_11,0.2743137853208145,0.08787954268268572,"vol11, vol17, vol15"
stock_13,0.7179820398716181,0.04388014468076839,"vol2, vol3, vol8"
stock_14,0.6627940506433343,0.01959515421620783,"vol3, bas_mean, vol19"
stock_15,0.5296135106522384,0.04044048673954648,"vol1, vol10, vol12"
stock_16,0.4548309090484759,0.07304836893750999,"vol1, vol9, vol5"
stock_17,0.5996826369752474,0.04385901150338778,"vol12, vol11, vol1"
stock_18,-0.08367075710049021,0.148369961784943,"vol12, vol7, vol3"
stock_19,0.4982996401329106,0.0701566533643937,"vol8, vol10, vol18"
stock_20,0.5949763383493942,0.03954136578997125,"vol5, vol15, vol7"
stock_21,0.7339851725365965,0.03350128672270536,"vol2, vol14, vol17"
stock_22,0.4947448156646264,0.05616419129909789,"bas_mean, vol19, vol15"
stock_23,0.6093782420720117,0.05651759680497137,"vol17, vol2, vol9"
stock_26,0.6555014188282686,0.03199139810294538,"vol18, vol15, vol7"
stock_27,0.517123819715885,0.137385683435285,"vol9, vol19, vol18"
stock_28,0.54814094890445,0.03549932205857342,"vol9, vol11, vol8"
stock_29,0.7174404572191508,0.0203281042968163,"vol5, vol9, vol1"
stock_30,0.07661930768001324,0.07516709258356813,"vol5, vol2, vol13"
stock_31,0.2805259858402164,0.2600146949630572,"vol9, vol4, vol8"
stock_32,0.6284697585178931,0.02528923523029358,"vol7, vol4, vol10"
stock_33,0.4918607373449393,0.18396568878342137,"bas_mean, vol6, vol1"
stock_34,0.7049457031513271,0.03729187556881086,"vol3, bas_mean, vol7"
stock_35,0.7136442510210982,0.02576337284619623,"vol7, vol1, vol5"
stock_36,0.6497449448342429,0.02255907412750968,"vol17, vol18, vol6"
stock_37,0.2146064332750125,0.15425845147186257,"vol11, vol12, vol19"
stock_38,0.3099938742781594,0.06113803450481869,"vol16, bas_mean, vol15"
stock_39,0.39103978291346897,0.03139324836470214,"vol1, vol6, bas_mean"
stock_40,0.20481906200329592,0.14648752626604278,"vol10, vol9, vol11"
stock_41,0.6388519472596494,0.05119422253817507,"vol4, vol1, vol2"
stock_42,0.5555369156575307,0.04495906480933376,"vol15, vol18, bas_mean"
stock_43,0.7972784240172657,0.01526843762138296,"vol2, vol8, vol11"
stock_44,0.762136883458468,0.02363037720870797,"vol5, vol10, vol7"
stock_46,0.5047064520248865,0.07057968115808366,"vol1, vol16, vol8"
stock_47,0.5086867585737249,0.0663869406400821,"vol10, vol1, vol8"
stock_48,0.6491489483106714,0.09591297492858208,"vol3, vol2, vol11"
stock_50,0.6830728417700329,0.01909616774727307,"vol9, vol1, vol19"
stock_51,0.5954485955311233,0.03749790861941116,"vol7, vol16, vol1"
stock_52,0.7399974634865736,0.03113459291877929,"vol6, vol8, vol5"
stock_53,0.3068859132196651,0.05427296376124779,"vol4, vol2, vol3"
stock_55,0.28888785997323807,0.06649430899238218,"vol18, vol7, vol19"
stock_56,0.661875598717647,0.0248569415934442,"vol16, vol19, vol8"
stock_58,0.30368241232369353,0.1108402677181186,"bas_mean, vol11, vol8"
stock_59,0.4393455826545867,0.0660298848434655,"vol7, vol5, vol9"
stock_60,0.45529379331105146,0.13776106020608414,"vol15, vol14, vol13"
stock_61,0.6460979693922781,0.02980103788095489,"vol5, vol12, vol10"
stock_62,0.2852368615896409,0.08505108627830937,"vol4, vol1, vol14"
stock_63,0.7314826508648968,0.01861105884311786,"vol18, vol17, vol19"
stock_64,0.7448856223178308,0.02630861542161033,"vol14, vol3, vol1"
stock_66,0.5604618959062454,0.05384942906201129,"vol1, vol16, vol17"
stock_67,0.6620245294113009,0.03353885890781283,"vol12, vol19, vol2"
stock_68,0.4444112355215233,0.04983327866696041,"vol16, vol12, vol3"
stock_69,0.7889288104186851,0.01614484987710307,"vol2, vol9, vol10"
stock_70,0.6689619049481325,0.05898700818914082,"vol3, vol17, vol6"
stock_72,0.4998489161588606,0.07038389863827144,"vol1, vol15, vol7"
stock_73,0.5860873014963259,0.05509420203934789,"vol7, vol18, vol1"
stock_74,0.4129850363637647,0.09600693957409778,"vol3, vol11, vol1"
stock_75,0.11064157521758387,0.09997650538837066,"vol11, vol17, vol7"
stock_76,0.5739903768099899,0.02623481989649767,"vol16, vol14, vol5"
stock_77,0.724836303340284,0.0328050576454717,"vol9, vol11, vol5"
stock_78,0.5312606715652681,0.07722947328286456,"vol7, vol19, vol16"
stock_80,0.5304490332317384,0.05004494640779788,"vol15, vol6, vol17"
stock_81,0.5545284772430159,0.07164078004873642,"vol19, vol18, vol14"
stock_82,0.6257248356523311,0.10311754448397548,"vol13, bas_mean, vol10"
stock_83,0.407928882725524,0.12187665810668669,"vol10, vol2, vol19"
stock_84,0.7253891513704454,0.01487634818546013,"vol7, vol6, vol1"
stock_85,0.5075252789220164,0.0584623360790325,"vol15, vol18, vol12"
stock_86,0.5582778595623599,0.0489834700500571,"vol12, vol16, vol11"
stock_87,0.36157099571843265,0.06104797015900698,"vol17, vol18, vol10"
stock_88,0.16094294691781075,0.1778916632887162,"vol6, vol1, vol8"
stock_89,0.4909002763428013,0.12698823222454125,"vol14, vol7, vol17"
stock_90,0.4575294952815608,0.11376592955662856,"vol15, vol6, vol19"
stock_93,0.7413840022459071,0.02815050613601966,"vol19, vol5, vol10"
stock_94,0.5503759483301528,0.04518260736956647,"vol19, vol1, vol3"
stock_95,0.625154335966249,0.0312872491920928,"vol15, vol13, vol6"
stock_96,0.5900118054800871,0.03717297179901513,"vol9, vol19, vol10"
stock_97,0.24481113090818396,0.07864465400850973,"vol14, vol5, vol7"
stock_98,0.34607593800545355,0.10326365923354096,"vol19, vol14, bas_mean"
stock_99,0.4937267310349266,0.06795834625684594,"vol3, vol2, bas_mean"
stock_100,0.6051967313392959,0.05030832520320416,"vol11, vol3, vol10"
stock_101,0.69850890516965225,0.03194526486176319,"vol14, vol19, vol10"
stock_102,0.5251791044852767,0.03402103809282841,"vol10, vol3, vol16"
stock_103,0.32968654278918397,0.08893739581969073,"bas_mean, vol1, vol9"
stock_104,0.47406320203529095,0.06452368380218432,"vol14, vol18, vol4"
stock_105,0.5650306019645446,0.07436839849002608,"vol6, vol7, vol4"
stock_107,0.6763181052183946,0.05245949284580642,"vol12, vol2, vol18"
stock_108,0.6100766651945599,0.03405496621207904,"vol19, vol18, vol17"
stock_109,0.663501397531709,0.03958729432926422,"vol5, vol1, vol3"
stock_110,0.27960638794532366,0.08614261245401078,"vol5, vol3, vol15"
stock_111,0.6561193699482628,0.02668420713178732,"vol3, vol1, vol9"
stock_112,0.30244822791029724,0.17113895375476762,"vol14, vol4, vol1"
stock_113,0.6300114958384863,0.04762155747890284,"vol14, vol7, vol17"
stock_114,0.6039396318207046,0.0491662879503294,"vol6, vol8, bas_mean"
stock_115,0.3463041212370943,0.06691638082008444,"vol15, vol16, vol11"
stock_116,0.36657287431921504,0.10590163949811736,"vol16, vol19, vol1"
stock_118,0.32160059728434276,0.07295941096080838,"vol18, vol9, vol14"
stock_119,0.6802179033890237,0.02928375544185657,"vol15, vol1, vol5"
stock_120,0.6869504608434207,0.02295627240217879,"vol9, vol5, vol2"
stock_122,0.5602965932060135,0.04967094922924497,"vol12, vol1, bas_mean"
stock_123,0.7690820003945007,0.02634677611832936,"vol8, vol15, bas_mean"
stock_124,0.6840590793277852,0.02047342124706142,"vol11, vol15, vol14"
stock_125,0.6847137822795599,0.05645102351449416,"vol18, bas_mean, vol2"
stock_126,0.4354871052563176,0.08087566913817756,"vol7, vol8, vol16"
